CodEqu,Descri,CosDia
CAR006,HERRAMIENTAS VARIAS,1.29
CAR007,HERRAMIENTAS PARA CARPINTERIA,1.29
CAR008,PLANTA TIPO 1 CARPINTERIA,3.4960500000000003
CAR009,TABLERO DE MADERA P/ ENTIBADO (UNIDAD PO,0.3564
CAR010,SEGUETA AJUSTABLE (ARCO),0.70224
CAR011,TABLON DE MADERA (3 USOS),0.7194
CAR012,FORMALETAS PLASTICAS P/ENCOFRADO,1.08
CAR013,ENCOFRADO METALICO REUTILIZABLE,1.29
CAR014,SIERRA DE MESA CON MOTOR DE 5 HP 220 V,9.91002
CAR015,SIERRA DE MESA CON MOTOR DE 8 HP,14.53452
CAR016,LIJADORA DE BANDA,39.6416
CAR017,CONO RECUPERABLE SEPARADOR ENCOFRADO-VAC,0.0655999999999999
CAR018,"SIERRA DE MESA/BANCO HASTA 10""",3.30335
CAR019,EQUIPO MEDIANO DE CARPINTERIA,3.28
CAR020,SIERRA MOVIL PARA CORTE DE CONCRETO,10.405465
CAR021,EQUIPO LIVIANO P/ CERRAJERIA,3.28
CAR022,CEPILLO DE CARPINTERO PARA MADERA,3.567
CAR023,CEPILLO PROFESIONAL DE CARPINTERIA,2.4224
CAR024,CEPILLO DE CARPINTERO STANLEY O SIM,4.955699999999999
CAR025,CEPILLADORA ELECTRICA BLACK & DECKER 769,1.83885
CAR026,EQUIPO PARA ENCOFRADO,3.28
CAR027,LLAVE TENSORA PARA PERROS DE ENCOFRADO,2.6424000000000003
CAR028,PERROS PARA ENCOFRADO,0.53
CAR029,TROMPO ELECTRICO PARA MADERA,2.9796
CAR030,LIJADORA DE BANDA RYOBI BG-424,30.28
CAR031,SIERRA CALADORA ELECTRICA,1.3213
CAR032,PUNTAL METALICO EXTENSIBLE P/ENCOFRADO,1.61
CAR033,FORMALETA METALICA P/DEMARCACION VIAL,1.32128
CAR034,LIJADORA ORBITAL RYOBI O SIMILAR,16.516000000000002
CAR035,LIJADORA DE BANDA/ALQUILER,19.82
CAR036,LIJADORA PARA PISO DE MADERA C/ANTIPOLVO,16.49
CAR037,FORMALETA P/LOSA RETICULAR 75X75,0.30824
CAR038,FORMALETA P/LOSA RETICULAR 50X50,0.24668
