CodMat,Descri,CosMat
ACE006,ALAMBRE ACERO TREFILADO STANDARD D= 5.2 ,4.86
ACE007,ALAMBRON ESTRIADO D=5.2 MM X 6M 1KG/PZA,3.87
ACE008,"ANGULO ACERO 100 X 100 X 8 MM 12,20 K/M",3.41
ACE009,ANGULOS Y PLANCHAS ACERO PARA ATRIL,13.22
ACE010,APOYOS PARA VIGAS DE ACERO IPN,3.28
ACE011,ARANDELA DE ACERO PARA FIJACION/ TORNILL,4.97
ACE012,BASE/ PLANCHA DE ACERO 40 X 50 CM E=2 CM,165.32
ACE013,"CABILLA*  D=3/4"" FY=4200 KGF/CM2  2,237 ",1.96
ACE014,"CABILLA*  D=5/8"" FY=4200 KGF/CM2   1.554",1.82
ACE015,"CABILLA*  D=7/8"" FY=4200 KGF/CM2  3.044 ",1.65
ACE016,"CABILLA D=5/8"" X 50 CMS C/PUNTA ROSCADA ",3.28
ACE017,"CABILLA ESTRIADA D=1/4"" FY=4200 KGF/CM2 ",1.97
ACE018,"CABILLA*  D=1"" FY=4200 KGF/CM2  3.997 K/",1.65
ACE019,"CABILLA*  D=3/8"" FY=4200 KGF/CM2 0,559 K",2.18
ACE020,ACERO PARA JUNTAS ESPECIALES EN PUENTES,3.41
ACE021,"CABILLA*  D=1/2"" FY=4200 KGF/CM2 0,994 K",1.86
ACE022,"CABILLA ESTRIADA D=3/8"" A 1"" FY=4200 KGF",2.44
ACE023,"MARCO* HIERRO P/PUERTA BISAG E=10 CM /1,",12.8
ACE024,"PERFIL DE ACERO IPE 220 - 26,2 KG/M",3.07
ACE025,"PERFIL DE ACERO IPE 240 - 30,7 KG/M",3.07
ACE026,CABILLA ESTRIADA N60 FY=4200K/CM2 #,2.07
ACE027,CABILLA ESTRIADA FY=4200 KGF/CM2 D= > 5/,2.18
ACE028,"CABILLA ESTRIADA D = < 1/2 "" FY=4200 KGF",1.97
ACE029,"PERFIL DE ACERO IPE 360 - 57,1 KG/M",3.07
